@relation R_data_frame

@attribute COLORC {DOJI,DOWN,UP}
@attribute MTREND_130 {DOWN,UP}
@attribute MTREND_20 {DOWN,UP}
@attribute D numeric
@attribute TH numeric
@attribute TM numeric
@attribute TYPEWIN_5M string
@attribute WINCALL_5M numeric
@attribute TYPEWIN_15M string
@attribute WINCALL_15M numeric

@data
UP,DOWN,DOWN,2,22,0,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,2,22,1,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,2,22,2,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,2,22,3,TIE,0,WINCALL,1
DOWN,DOWN,DOWN,2,22,4,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,2,22,5,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,2,22,6,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,2,22,7,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,2,22,8,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,2,22,9,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,2,22,10,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,2,22,11,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,2,22,12,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,2,22,13,WINCALL,1,TIE,0
UP,DOWN,DOWN,2,22,14,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,2,22,15,WINPUT,0,WINCALL,1
DOWN,DOWN,UP,2,22,16,WINPUT,0,WINCALL,1
DOJI,DOWN,UP,2,22,17,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,2,22,18,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,2,22,19,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,2,22,20,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,2,22,21,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,2,22,22,WINPUT,0,WINCALL,1
UP,DOWN,UP,2,22,23,WINPUT,0,WINCALL,1
DOJI,DOWN,UP,2,22,24,WINCALL,1,WINCALL,1
UP,DOWN,UP,2,22,25,WINCALL,1,WINCALL,1
UP,DOWN,UP,2,22,26,WINCALL,1,WINCALL,1
DOWN,DOWN,UP,2,22,27,WINCALL,1,WINCALL,1
DOWN,DOWN,UP,2,22,28,WINCALL,1,WINCALL,1
UP,DOWN,UP,2,22,29,WINPUT,0,WINCALL,1
UP,DOWN,UP,2,22,30,WINPUT,0,WINPUT,0
DOWN,UP,UP,2,22,31,WINCALL,1,WINCALL,1
DOWN,DOWN,UP,2,22,32,WINCALL,1,WINCALL,1
DOWN,DOWN,UP,2,22,33,WINCALL,1,WINCALL,1
UP,DOWN,UP,2,22,34,WINCALL,1,WINPUT,0
UP,DOWN,UP,2,22,35,WINPUT,0,WINCALL,1
DOWN,DOWN,UP,2,22,36,WINCALL,1,WINCALL,1
UP,DOWN,UP,2,22,37,WINCALL,1,WINCALL,1
DOWN,UP,UP,2,22,38,WINCALL,1,WINCALL,1
UP,DOWN,UP,2,22,39,WINCALL,1,WINCALL,1
UP,DOWN,UP,2,22,40,WINCALL,1,WINCALL,1
UP,DOWN,UP,2,22,41,WINCALL,1,WINCALL,1
UP,UP,UP,2,22,42,WINCALL,1,WINCALL,1
